word,reading_hiragana,meaning_ko,example_jp,example_ko
実家,じっか,본가,,
実情,じつじょう,실정,,
実態,じったい,실태,,
実業家,じつぎょうか,실업가,,
実質,じっしつ,실질,,
実践,じっせん,실천,,
客観,きゃっかん,객관,,
宣教,せんきょう,선교,,
宮殿,きゅうでん,궁전,,
家来,けらい,가신,,
家畜,かちく,가축,,
家計,かけい,가계,,
容認,ようにん,용인,,
宿命,しゅくめい,숙명,,
寄与,きよ,기여,,
寄贈,きぞう,기증,,
密かな,ひそかな,은밀한 조용한,,
密封,みっぷう,밀봉,,
密度,みつど,밀도,,
密輸,みつゆ,밀수,,
密集,みっしゅう,밀집,,
寛容な,かんような,관대한,,
察知,さっち,감지,,
審査,しんさ,심사,,
対処,たいしょ,대처,,
対応,たいおう,대응,,
対抗,たいこう,대항,,
対比,たいひ,대비,,
対決,たいけつ,대결,,
対等,たいとう,대등,,
対話,たいわ,대화,,
対談,たいだん,대담,,
対面,たいめん,대면,,
封建,ほうけん,봉건,,
封鎖,ふうさ,봉쇄,,
専修,せんしゅう,전공,,
専用,せんよう,전용,,
尊い・貴い,とうとい,존귀하다 귀중하다,,
導く,みちびく,이끌다,,
導入,どうにゅう,도입,,
小児科,しょうにか,소아과,,
小銭,こぜに,잔돈,,
就業,しゅうぎょう,취업,,
尽くす,つくす,다하다,,
局限,きょくげん,국한,,
居住,きょじゅう,거주,,
屈折,くっせつ,굴절,,
展望,てんぼう,전망,,
展開,てんかい,전개,,
履歴,りれき,이력,,
山脈,さんみゃく,산맥,,
山腹,さんぷく,산허리,,
岩石,がんせき,암석,,
崇拝,すうはい,숭배,,
崩れる,くずれる,무너지다,,
崩壊,ほうかい,붕괴,,
巡る,めぐる,돌다,,
巣,す,둥지,,
工作,こうさく,공작,,
工夫,くふう,궁리,,
工学,こうがく,공학,,
工面,くめん,돈 마련,,
巧みな,たくみな,교묘한 능숙한,,
巧妙な,こうみょうな,교묘한,,
差し出す,さしだす,내밀다 제출하다,,
差し支える,さしつかえる,지장이 있다,,
差額,さがく,차액,,
市場,しじょう,시장,,
市街,しがい,시가지,,
布告,ふこく,포고,,
布巾,ふきん,행주,,
帯びる,おびる,띠다,,
幅広い,はばひろい,폭넓은,,
平たい,ひらたい,평평하다 쉬운 표현이다,,
平常,へいじょう,평상,,
平方,へいほう,평방,,
平等な,びょうどうな,평등한,,
年号,ねんごう,연호,,
年賀,ねんが,연하,,
年輪,ねんりん,나이테,,
年鑑,ねんかん,연감,,
年長,ねんちょう,연장,,
幾多,いくた,수많은,,
広大な,こうだいな,광대한,,
座談会,ざだんかい,좌담회,,
庶務,しょむ,서무,,
庶民,しょみん,서민,,
廃れる,すたれる,쇠퇴하다,,
廃止,はいし,폐지,,
弁償,べんしょう,변상,,
弁解,べんかい,변명,,
弁論,べんろん,변론,,
弁護,べんご,변호,,
引きずる,ひきずる,질질 끌다,,
引き上げる,ひきあげる,끌어올리다 인상하다 철수하다,,
引き下げる,ひきさげる,끌어내리다 인하하다,,
引き取る,ひきとる,인수하다 데려가다 물러나다,,
引き止める,ひきとめる,만류하다 붙잡다,,
引き継ぐ,ひきつぐ,이어받다 인계하다,,
引き落とす,ひきおとす,자동 이체하다 끌어내리다,,
引き起こす,ひきおこす,일으키다 초래하다,,
強いる,しいる,강요하다,,
強み,つよみ,강점,,
強制,きょうせい,강제,,
強烈な,きょうれつな,강렬한,,
強盗,ごうとう,강도,,
強硬な,きょうこうな,강경한,,
強行,きょうこう,강행,,
弾力,だんりょく,탄력,,
当てはめる,あてはめる,끼워 맞추다,,
当人,とうにん,본인,,
当選,とうせん,당선,,
形勢,けいせい,형세,,
形態,けいたい,형태,,
形成,けいせい,형성,,
征服,せいふく,정복,,
待ち遠しい,まちどおしい,기다려지는,,
待望,たいぼう,대망,,
待遇,たいぐう,대우,,
後半,こうはん,후반,,
後退,こうたい,후퇴,,
徐行,じょこう,서행,,
徒歩,とほ,도보,,
従事,じゅうじ,종사,,
従業員,じゅうぎょういん,종업원,,
得点,とくてん,득점,,
復旧,ふっきゅう,복구,,
復活,ふっかつ,부활,,
復興,ふっこう,부흥,,
微塵,みじん,미진,,
微妙,びみょう,미묘,,
微妙な,びみょうな,미묘한,,
微小,びしょう,미소,,
微量,びりょう,미량,,
心中,しんじゅう,동반 자살,,
心地よい,ここちよい,기분 좋은,,
心強い,こころづよい,든든한,,
心当たり,こころあたり,짐작,,
心得,こころえ,소양,,
心情,しんじょう,심정,,
心構え,こころがまえ,마음가짐,,
心細い,こころぼそい,불안한,,
必修,ひっしゅう,필수 이수,,
必然,ひつぜん,필연,,
忍耐,にんたい,인내,,
志す,こころざす,뜻하다,,
志望,しぼう,지망,,
忘却,ぼうきゃく,망각,,
応募,おうぼ,응모 지원,,
応急,おうきゅう,응급,,
応援団,おうえんだん,응원단,,
忠実な,ちゅうじつな,충실한,,
快い,こころよい,쾌적한,,
念頭,ねんとう,염두,,
念願,ねんがん,염원,,
思い悩む,おもいなやむ,고민하다 괴로워하다,,
思い立つ,おもいたつ,마음먹다 결심하다,,
思い詰める,おもいつめる,골똘히 생각하다 몰아붙이다,,
思い込む,おもいこむ,굳게 믿다 단정하다,,
思い返す,おもいかえす,다시 생각하다 되돌아보다,,
怠る,おこたる,게을리하다,,
怠慢な,たいまんな,태만한,,
急カーブ,きゅうかーぶ,급커브,,
急ブレーキ,きゅうぶれーき,급브레이크,,
急増,きゅうぞう,급증,,
急成長,きゅうせいちょう,급성장,,
急斜面,きゅうしゃめん,급경사면,,
急降下,きゅうこうか,급강하,,
恋愛,れんあい,연애,,
悩ましい,なやましい,고민스러운,,
悪化,あっか,악화,,
悲観,ひかん,비관,,
悲鳴,ひめい,비명,,
情けない,なさけない,한심한,,
情け深い,なさけぶかい,인정이 많다 자비롭다,,
情勢,じょうせい,정세,,
情報誌,じょうほうし,정보지,,
情熱,じょうねつ,정열,,
情緒,じょうちょ,정서,,
惑星,わくせい,행성,,
惜しむ,おしむ,아까워하다,,
想像上,そうぞうじょう,상상상 상상 속,,
意向,いこう,의향,,
意図,いと,의도,,
意地,いじ,고집 심술,,
意欲,いよく,의욕,,
意気込み,いきごみ,의욕,,
意義,いぎ,의의 의미,,
愚かな,おろかな,어리석은,,
愛好,あいこう,애호,,
愛着,あいちゃく,애착,,
愛顧,あいこ,애고 단골로 아껴 줌,,
感度,かんど,감도,,
感慨,かんがい,감개,,
感染,かんせん,감염,,
感無量,かんむりょう,감개무량,,
感触,かんしょく,감촉,,
慎む,つつしむ,삼가다,,
慎重な,しんちょうな,신중한,,
慕う,したう,사모하다,,
慣例,かんれい,관례,,
慣用,かんよう,관용,,
慣習,かんしゅう,관습,,
慣行,かんこう,관행,,
憂鬱な,ゆううつな,우울한,,
憤る,いきどおる,분개하다,,
憤慨,ふんがい,분개,,
憩い,いこい,휴식,,
懸賞,けんしょう,현상,,
成り立つ,なりたつ,성립되다 이루어지다,,
成就,じょうじゅ,성취,,
成年,せいねん,성년,,
成果,せいか,성과,,
成熟,せいじゅく,성숙,,
成育,せいいく,성장,,
成長,せいちょう,성장,,
戒める,いましめる,훈계하다,,
戦力,せんりょく,전력,,
戦災,せんさい,전재,,
戦術,せんじゅつ,전술,,
戦闘,せんとう,전투,,
戸籍,こせき,호적,,
所在,しょざい,소재,,
所定,しょてい,소정,,
所属,しょぞく,소속,,
所得,しょとく,소득,,
所持,しょじ,소지,,
所有,しょゆう,소유,,
手がける,てがける,손수 다루다 맡다,,
手当,てあて,수당,,
手法,しゅほう,수법,,
手立て,てだて,방도,,
手腕,しゅわん,수완,,
手芸,しゅげい,수예,,
手薄な,てうすな,허술한,,
手軽な,てがるな,간편한,,
手近な,てぢかな,가까운 손쉬운,,
手配,てはい,수배,,
手際,てぎわ,솜씨 처리 능력,,
手順,てじゅん,순서,,
打ち切る,うちきる,중지하다 끝내다,,
打ち明ける,うちあける,털어놓다 고백하다,,
打ち込む,うちこむ,몰두하다 박아 넣다,,
打撃,だげき,타격,,
打診,だしん,타진,,
打開,だかい,타개,,
承認,しょうにん,승인,,
承諾,しょうだく,승낙,,
技能,ぎのう,기능,,
把握,はあく,파악,,
抑制,よくせい,억제,,
抑圧,よくあつ,억압,,
投入,とうにゅう,투입,,
抗争,こうそう,항쟁,,
抗議,こうぎ,항의,,
折衷,せっちゅう,절충,,
抜かす,ぬかす,빠뜨리다,,
抜粋,ばっすい,발췌,,
抱える,かかえる,끌어안다,,
抱え込む,かかえこむ,떠안다 끌어안다,,
抱負,ほうふ,포부,,
抵抗,ていこう,저항,,
押し寄せる,おしよせる,밀려오다 몰려오다,,
押し込む,おしこむ,밀어 넣다 강제로 들어가다,,
抽象,ちゅうしょう,추상,,
抽選,ちゅうせん,추첨,,
担う,になう,짊어지다,,
担架,たんか,들것,,
拒絶,きょぜつ,거절,,
拘束,こうそく,구속,,
拝借,はいしゃく,차용,,
拠点,きょてん,거점,,
拡張,かくちょう,확장,,
拡散,かくさん,확산,,
持続,じぞく,지속,,
指令,しれい,지령,,
指図,さしず,지시,,
指揮,しき,지휘,,
指摘,してき,지적,,
挑む,いどむ,도전하다,,
挑戦,ちょうせん,도전,,
振動,しんどう,진동,,
捕獲,ほかく,포획,,
捕虜,ほりょ,포로,,
捕鯨,ほげい,포경,,
授ける,さずける,수여하다,,
排水,はいすい,배수,,
排除,はいじょ,배제,,
採択,さいたく,채택,,
採掘,さいくつ,채굴,,
採決,さいけつ,채결,,
採用,さいよう,채용,,
採集,さいしゅう,채집,,
接続詞,せつぞくし,접속사,,
接触,せっしょく,접촉,,
控除,こうじょ,공제,,
推測,すいそく,추측,,
