word,reading_hiragana,meaning_ko,source_title,source_author,source_url,example_jp,example_ko,source
なお,なお,여전히,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,葉子は今まで急ぎ気味であった歩みをぴったり止めてしまって、落ち付いた顔で、車夫のほうに向きなおった。,,public_domain:青空文庫:或る女:有島武郎
なおさら,なおさら,더욱더,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,それがなおさらその人をあわれにして見せた。,,public_domain:青空文庫:或る女:有島武郎
なまじ,なまじ,어설프게,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,擲身報国は官吏たるものの一特権だが、木村さんのようなまじめな信者にしこたま金を造ってもらわんじゃ、神の道を日本に伝え広げるにしてからが容易な事じゃありませんよ。,,public_domain:青空文庫:或る女:有島武郎
なんとか,なんとか,어떻게든,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,「それでもあなた」と葉子は切なさそうに半ば起き上がって、「外面だけで人のする事をなんとかおっしゃるのは少し残酷ですわ。,,public_domain:青空文庫:或る女:有島武郎
なんとなく,なんとなく,왠지,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,葉子はなんとなくその行燈に興味をひかれてしまっていた。,,public_domain:青空文庫:或る女:有島武郎
はかない,はかない,덧없다,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,白紙のようなはかない寂しさと、「裸になるならきれいさっぱり裸になって見せよう」という火のような反抗心とが、むちゃくちゃに葉子の胸を冷やしたり焼いたりした。,,public_domain:青空文庫:或る女:有島武郎
はたして,はたして,과연,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,木部の全霊はただ一目でこの美しい才気のみなぎりあふれた葉子の容姿に吸い込まれてしまった。,,public_domain:青空文庫:或る女:有島武郎
はるかに,はるかに,훨씬,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,和服よりもはるかに洋服に適した葉子は、そこの交際社会でも風俗では米国人を笑わせない事ができる。,,public_domain:青空文庫:或る女:有島武郎
ひたすら,ひたすら,오로지,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,葉子は早く早くここを切り上げて日本に帰りたいという子供じみた考えのほかには、おかしいほどそのほかの興味を失ってしまって、他郷の風景に一瞥を与える事もいとわしく、自分の部屋の中にこもりきって、ひたすら発船の日を待ちわびた。,,public_domain:青空文庫:或る女:有島武郎
ひとまず,ひとまず,일단,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,葉子は物慣れぬ弟を教えいたわるように、「それに万一わたしの病気がよくならないで、ひとまず日本へでも帰るようになれば、なおなお帰りの船の中では世話にならなければならないでしょう。,,public_domain:青空文庫:或る女:有島武郎
ひょっとすると,ひょっとすると,어쩌면,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,ひょっとすると邪魔物扱いにされてあの老人は殺されてしまうかもしれない。,,public_domain:青空文庫:或る女:有島武郎
ふと,ふと,문득,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,古藤は何かに腹を立てているらしい足どりでずかずかと縁側を伝って来たが、ふと立ち止まると大きな声で帳場のほうにどなった。,,public_domain:青空文庫:或る女:有島武郎
ふらふら,ふらふら,비틀비틀,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,葉子は思わずふらふらッと立ち上がろうとするのを、何気ない顔でじっとこらえた。,,public_domain:青空文庫:或る女:有島武郎
まさしく,まさしく,바로,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,見ると葉子の前にはまさしく、角燈を持って焦茶色のマントを着た事務長が立っていた。,,public_domain:青空文庫:或る女:有島武郎
まして,まして,하물며,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,女中がランプを持って来た物音に葉子はようやく目をさまして、仰向いたまま、すすけた天井に描かれたランプの丸い光輪をぼんやりとながめていた。,,public_domain:青空文庫:或る女:有島武郎
むしろ,むしろ,오히려,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,田川といえば、法曹界ではかなり名の聞こえた割合に、どこといって取りとめた特色もない政客ではあるが、その人の名はむしろ夫人のうわさのために世人の記憶にあざやかであった。,,public_domain:青空文庫:或る女:有島武郎
むやみに,むやみに,함부로,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,それと入れ代わりに、帽子、上着、ズボン、ネクタイ、靴などの調和の少しも取れていないくせに、むやみに気取った洋装をした非番の下級船員たちが、ぬれた傘を光らしながら駆けこんで来た。,,public_domain:青空文庫:或る女:有島武郎
めきめき,めきめき,눈에 띄게,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,上野の音楽学校にはいってヴァイオリンのけいこを始めてから二か月ほどの間にめきめき上達して、教師や生徒の舌を巻かした時、ケーべル博士一人は渋い顔をした。,,public_domain:青空文庫:或る女:有島武郎
めっきり,めっきり,부쩍,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,五年たっても昔のままの構えで、まばらにさし代えた屋根板と、めっきり延びた垣添いの桐の木とが目立つばかりだった。,,public_domain:青空文庫:或る女:有島武郎
ようやく,ようやく,겨우,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,木部が狂気のようになって、ようやく葉子の隠れ場所を見つけて会いに来た時は、葉子は冷静な態度でしらじらしく面会した。,,public_domain:青空文庫:或る女:有島武郎
よほど,よほど,상당히,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,こんなくらいなら定子の所にでもいるほうがよほどましだった。,,public_domain:青空文庫:或る女:有島武郎
ろくな,ろくな,변변한,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,列車の中からはある限りの顔が二人を見迎え見送るので、青年が物慣れない処女のようにはにかんで、しかも自分ながら自分を怒っているのが葉子にはおもしろくながめやられた。,,public_domain:青空文庫:或る女:有島武郎
